dimension,max,min
0,0.949999988079071,0.09000000357627869
1,0.1599999964237213,0.0
2,1.0,0.09000000357627869
3,0.25999999046325684,0.0
4,1.0,0.14000000059604645
5,0.3400000035762787,0.0
6,0.9599999785423279,0.14000000059604645
7,0.23999999463558197,0.009999999776482582
8,0.9800000190734863,0.12999999523162842
9,0.33000001311302185,0.009999999776482582
10,0.9399999976158142,0.09000000357627869
11,0.23999999463558197,0.0
12,0.9399999976158142,0.05999999865889549
13,0.20999999344348907,0.0
14,163.13999938964844,0.0
15,33.0,0.0
16,0.5,0.0
17,0.6700000166893005,0.0
18,102501.0,0.009999999776482582
19,13195.0,2.0
20,3685.0,0.0
21,73.0,0.0
22,40368.0,2.0
23,1025010.0,7.0
24,13195.0,0.0
25,126.0,0.0
26,1.0,0.0
27,0.5699999928474426,0.0
28,0.7200000286102295,0.0
29,0.5400000214576721,0.0
30,819758016.0,0.0
31,3772100352.0,0.0
32,158464819200.0,0.019999999552965164
33,613726093312.0,0.0
34,84538.0703125,0.0
35,258381.484375,0.0
36,1371056.0,0.009999999776482582
37,81169.5234375,0.0
38,190816.296875,0.0
39,84099.9296875,0.0
40,296977.3125,0.0
41,916.4000244140625,-1.649999976158142
42,2080.580078125,0.0
43,3206686.25,0.0
44,51591.75,0.0
45,184693.90625,0.0
46,555692.6875,0.4099999964237213
47,2135507.0,0.0
48,135460.4375,-0.8500000238418579
49,380399.75,0.0
50,121967.8828125,-1.1100000143051147
51,369459.25,0.0
52,57875.5,-82.1500015258789
53,99703.1015625,0.0
54,1.0,0.0
55,60.0,1.0
56,837.0,0.0
57,5824.0,0.0
58,34.0,0.0
59,550843.3125,0.4099999964237213
60,2103767.5,0.0
61,3206685.25,0.0
62,103197.53125,0.11999999731779099
63,397961.4375,0.0
64,1.7000000476837158,1.0099999904632568
65,17.020000457763672,-4.559999942779541
66,19.899999618530273,0.0
67,0.6299999952316284,0.0
68,0.5,0.0
69,127158.5390625,-0.9700000286102295
70,381184.34375,0.0
71,158464819200.0,0.019999999552965164
72,613725437952.0,0.0
73,1.0,0.0
74,245154.0,2.0
75,26.360000610351562,1.0
76,16.219999313354492,0.0
77,0.5,0.0
78,0.4399999976158142,0.0
79,2777563403386880.0,4.0
80,1.2199753672556544e+16,0.0
81,0.5,0.009999999776482582
82,0.46000000834465027,0.0
83,245153.0,1.0
84,24515.30078125,0.0
85,0.9399999976158142,0.0
86,6128.81982421875,1.0
87,8718.7099609375,0.0
88,24515.30078125,1.0
89,6313.56982421875,0.0
90,25.469999313354492,0.6700000166893005
91,16.139999389648438,0.5799999833106995
92,0.5,0.009999999776482582
93,0.15000000596046448,0.029999999329447746
94,0.5,0.0
95,0.18000000715255737,0.0
96,0.25,0.0
97,0.44999998807907104,0.0
98,0.6700000166893005,0.0
99,0.47999998927116394,0.0
100,6.860000133514404,0.0
101,1.9800000190734863,0.0
102,1.0,0.0
103,0.30000001192092896,0.0
104,15.300000190734863,0.1899999976158142
105,191905.765625,-29388328.0
106,15.380000114440918,0.9200000166893005
107,1.6699999570846558,0.0
108,4.199999809265137,0.0
109,1.7699999809265137,0.0
110,546973.5,-1.0
111,7.0,1.0
112,6.0,1.0
113,5.0,1.0
114,7.0,3.0
115,7.0,1.0
116,7.0,1.0
117,7.0,1.0
118,7.0,1.0
119,7.0,1.0
120,7.0,1.0
121,6.0,1.0
122,7.0,1.0
123,7.0,1.0
124,7.0,1.0
125,2648.97998046875,0.49000000953674316
126,1567487.375,0.6600000262260437
127,5.920000076293945,0.23000000417232513
128,0.25,-0.6800000071525574
129,435.0,0.0
130,0.5,-0.75
131,35.90999984741211,0.5799999833106995
132,0.009999999776482582,0.0
133,1.0,0.27000001072883606
134,0.8600000143051147,0.0
135,1.0,0.10000000149011612
136,1.0,0.8199999928474426
137,1.0,0.0
138,0.3199999928474426,0.0
139,0.7900000214576721,0.009999999776482582
140,0.1899999976158142,0.009999999776482582
141,0.7200000286102295,0.0
142,0.4099999964237213,0.0
143,0.9900000095367432,0.0
144,0.3799999952316284,0.0
145,0.9700000286102295,0.0
146,0.36000001430511475,0.0
147,0.9800000190734863,0.0
148,0.3700000047683716,0.0
149,0.20999999344348907,0.0
150,0.10000000149011612,0.0
151,0.2800000011920929,0.0
152,0.12999999523162842,0.0
153,0.27000001072883606,0.0
154,0.14000000059604645,0.0
155,1.0,0.6200000047683716
156,1.0,0.07000000029802322
157,1.0,0.10999999940395355
158,0.27000001072883606,0.0
159,1.0,0.029999999329447746
160,0.5,0.0
161,0.8700000047683716,0.0
162,0.5,0.0
163,1.0,0.07999999821186066
164,163.13999938964844,0.0
165,0.7099999785423279,0.0
166,1.0,0.0
167,1.0,0.03999999910593033
168,0.4300000071525574,0.0
169,0.5199999809265137,0.0
170,0.4099999964237213,0.0
171,1.0,0.0
172,1.0,0.0
173,1.0,0.0
174,1.0,0.0
175,1.0,0.0
176,1.0,0.0
177,1.0,0.0
178,1.0,0.0
179,595801.125,0.6044921875
180,34.0,0.0
181,987520.0,0.0
182,1.0,0.0
183,1.0,0.0
184,1.0,0.0
