symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,class
2.0,164.0,99.8,176.6,66.2,54.3,2337.0,109.0,3.19,3.4,10.0,102,5500.0,24,30,13950.0
2.0,164.0,99.4,176.6,66.4,54.3,2824.0,136.0,3.19,3.4,8.0,115,5500.0,18,22,17450.0
1.0,158.0,105.8,192.7,71.4,55.7,2844.0,136.0,3.19,3.4,8.5,110,5500.0,19,25,17710.0
1.0,158.0,105.8,192.7,71.4,55.9,3086.0,131.0,3.13,3.4,8.3,140,5500.0,17,20,23875.0
2.0,192.0,101.2,176.8,64.8,54.3,2395.0,108.0,3.5,2.8,8.8,101,5800.0,23,29,16430.0
0.0,192.0,101.2,176.8,64.8,54.3,2395.0,108.0,3.5,2.8,8.8,101,5800.0,23,29,16925.0
0.0,188.0,101.2,176.8,64.8,54.3,2710.0,164.0,3.31,3.19,9.0,121,4250.0,21,28,20970.0
0.0,188.0,101.2,176.8,64.8,54.3,2765.0,164.0,3.31,3.19,9.0,121,4250.0,21,28,21105.0
2.0,121.0,88.4,141.1,60.3,53.2,1488.0,61.0,2.91,3.03,9.5,48,5100.0,47,53,5151.0
1.0,98.0,94.5,155.9,63.6,52.0,1874.0,90.0,3.03,3.11,9.6,70,5400.0,38,43,6295.0
0.0,81.0,94.5,158.8,63.6,52.0,1909.0,90.0,3.03,3.11,9.6,70,5400.0,38,43,6575.0
1.0,118.0,93.7,157.3,63.8,50.8,1876.0,90.0,2.97,3.23,9.41,68,5500.0,37,41,5572.0
1.0,118.0,93.7,157.3,63.8,50.8,1876.0,90.0,2.97,3.23,9.4,68,5500.0,31,38,6377.0
1.0,118.0,93.7,157.3,63.8,50.8,2128.0,98.0,3.03,3.39,7.6,102,5500.0,24,30,7957.0
1.0,148.0,93.7,157.3,63.8,50.6,1967.0,90.0,2.97,3.23,9.4,68,5500.0,31,38,6229.0
1.0,148.0,93.7,157.3,63.8,50.6,1989.0,90.0,2.97,3.23,9.4,68,5500.0,31,38,6692.0
1.0,148.0,93.7,157.3,63.8,50.6,1989.0,90.0,2.97,3.23,9.4,68,5500.0,31,38,7609.0
-1.0,110.0,103.3,174.6,64.6,59.8,2535.0,122.0,3.34,3.46,8.5,88,5000.0,24,30,8921.0
3.0,145.0,95.9,173.2,66.3,50.2,2811.0,156.0,3.6,3.9,7.0,145,5000.0,19,24,12964.0
2.0,137.0,86.6,144.6,63.9,50.8,1713.0,92.0,2.91,3.41,9.6,58,4800.0,49,54,6479.0
2.0,137.0,86.6,144.6,63.9,50.8,1819.0,92.0,2.91,3.41,9.2,76,6000.0,31,38,6855.0
1.0,101.0,93.7,150.0,64.0,52.6,1837.0,79.0,2.91,3.07,10.1,60,5500.0,38,42,5399.0
1.0,101.0,93.7,150.0,64.0,52.6,1940.0,92.0,2.91,3.41,9.2,76,6000.0,30,34,6529.0
1.0,101.0,93.7,150.0,64.0,52.6,1956.0,92.0,2.91,3.41,9.2,76,6000.0,30,34,7129.0
0.0,110.0,96.5,163.4,64.0,54.5,2010.0,92.0,2.91,3.41,9.2,76,6000.0,30,34,7295.0
0.0,78.0,96.5,157.1,63.9,58.3,2024.0,92.0,2.92,3.41,9.2,76,6000.0,30,34,7295.0
0.0,106.0,96.5,167.5,65.2,53.3,2236.0,110.0,3.15,3.58,9.0,86,5800.0,27,33,7895.0
0.0,106.0,96.5,167.5,65.2,53.3,2289.0,110.0,3.15,3.58,9.0,86,5800.0,27,33,9095.0
0.0,85.0,96.5,175.4,65.2,54.1,2304.0,110.0,3.15,3.58,9.0,86,5800.0,27,33,8845.0
0.0,85.0,96.5,175.4,62.5,54.1,2372.0,110.0,3.15,3.58,9.0,86,5800.0,27,33,10295.0
0.0,85.0,96.5,175.4,65.2,54.1,2465.0,110.0,3.15,3.58,9.0,101,5800.0,24,28,12945.0
